name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Nikola Jokic,掘金,中锋,2.13,128.8 公斤,5,塞尔维亚,https://china.nba.com//players/#!/nikola_jokic,381,340,29.0,52.4,33.8,82.6,2.6,7.0,17.0,9.6,5.5,1.1,0.7,2.5,2.9
Damian Jones,太阳,中锋,2.11,111.1 公斤,4,美国,https://china.nba.com//players/#!/damian_jones,104,49,14.1,66.6,22.2,67.6,1.1,1.9,4.6,3.1,0.6,0.4,0.7,0.5,2.3
Mason Jones,火箭,后卫,1.96,90.7 公斤,0,美国,https://china.nba.com//players/#!/mason_jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Jones,马刺,后卫,1.88,83.9 公斤,0,美国,https://china.nba.com//players/#!/tre_jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Jones,灰熊,后卫,1.83,88.9 公斤,5,美国,https://china.nba.com//players/#!/tyus_jones,312,40,18.0,43.1,34.5,80.3,0.2,1.3,5.6,1.6,3.6,1.0,0.1,0.7,1.0
Derrick Jones Jr.,开拓者,前锋,1.98,95.3 公斤,4,美国,https://china.nba.com//players/#!/derrick_jones jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Jordan,篮网,中锋,2.11,120.2 公斤,12,美国,https://china.nba.com//players/#!/deandre_jordan,875,713,27.8,66.9,9.1,47.4,3.2,7.6,9.5,10.8,0.9,0.6,1.6,1.4,2.6
Cory Joseph,国王,后卫,1.90,90.7 公斤,9,加拿大,https://china.nba.com//players/#!/cory_joseph,600,121,21.9,44.1,33.2,76.9,0.5,2.1,6.9,2.6,2.9,0.8,0.2,1.0,1.5
Mfiondu Kabengele,快船,前锋-中锋,2.06,113.4 公斤,1,加拿大,https://china.nba.com//players/#!/mfiondu_kabengele,12,0,5.3,43.8,45.0,100.0,0.1,0.8,3.5,0.9,0.2,0.2,0.2,0.2,0.8
Frank Kaminsky,国王,前锋-中锋,2.13,108.9 公斤,5,美国,https://china.nba.com//players/#!/frank_kaminsky,321,36,21.9,42.2,34.7,75.0,0.8,3.3,9.8,4.1,1.6,0.5,0.4,0.9,1.6
Enes Kanter,开拓者,中锋,2.08,113.4 公斤,9,土耳其,https://china.nba.com//players/#!/enes_kanter,641,223,21.7,54.3,28.7,77.6,2.9,4.7,11.6,7.6,0.9,0.4,0.5,1.5,2.2
Luke Kennard,快船,后卫,1.96,93.4 公斤,3,美国,https://china.nba.com//players/#!/luke_kennard,164,44,23.3,44.1,40.2,86.3,0.3,2.5,9.8,2.8,2.2,0.5,0.2,1.0,1.5
Michael Kidd-Gilchrist,尼克斯,前锋,1.98,105.2 公斤,8,美国,https://china.nba.com//players/#!/michael_kidd-gilchrist,446,356,24.6,47.4,27.2,71.5,1.6,3.9,8.4,5.4,1.2,0.7,0.7,0.9,2.1
Maxi Kleber,独行侠,前锋,2.08,108.9 公斤,3,德国,https://china.nba.com//players/#!/maxi_kleber,217,74,21.2,46.6,35.5,80.1,1.3,3.1,7.1,4.4,1.0,0.4,1.0,0.7,2.0
Nathan Knight,老鹰,前锋-中锋,2.08,114.8 公斤,0,美国,https://china.nba.com//players/#!/nathan_knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Knox II,尼克斯,前锋,2.01,97.5 公斤,2,美国,https://china.nba.com//players/#!/kevin_knox,140,61,23.7,36.7,33.7,69.7,0.6,3.1,9.9,3.7,1.0,0.5,0.4,1.1,2.0
John Konchar,灰熊,后卫,1.96,95.3 公斤,1,美国,https://china.nba.com//players/#!/john_konchar,19,0,9.5,64.9,50.0,50.0,1.0,1.5,2.8,2.5,1.2,0.4,0.2,0.4,0.4
Furkan Korkmaz,76人,后卫-前锋,2.01,91.6 公斤,3,土耳其,https://china.nba.com//players/#!/furkan_korkmaz,134,19,17.3,41.6,37.7,76.7,0.3,1.9,7.5,2.1,1.0,0.5,0.1,0.6,1.3
Luke Kornet,公牛,前锋-中锋,2.18,113.4 公斤,3,美国,https://china.nba.com//players/#!/luke_kornet,102,33,16.4,40.0,33.9,77.6,0.6,2.2,6.6,2.8,1.1,0.4,0.8,0.5,1.2
Rodions Kurucs,篮网,前锋,2.06,103.4 公斤,2,拉脱维亚,https://china.nba.com//players/#!/rodions_kurucs,110,55,18.0,44.9,33.2,73.8,0.7,2.8,6.8,3.5,0.9,0.6,0.3,1.1,2.2
Kyle Kuzma,湖人,前锋,2.03,100.2 公斤,3,美国,https://china.nba.com//players/#!/kyle_kuzma,208,114,30.0,44.9,33.1,73.2,1.0,4.5,16.0,5.5,1.9,0.6,0.4,1.8,2.2
Zach LaVine,公牛,后卫-前锋,1.98,90.7 公斤,6,美国,https://china.nba.com//players/#!/zach_lavine,353,266,30.8,44.7,37.5,81.9,0.5,3.2,17.7,3.6,3.6,1.0,0.3,2.5,2.2
Jeremy Lamb,步行者,后卫-前锋,1.96,81.6 公斤,8,美国,https://china.nba.com//players/#!/jeremy_lamb,481,128,21.2,44.4,33.9,85.1,0.5,3.2,10.5,3.7,1.6,0.7,0.4,0.9,1.7
Romeo Langford,凯尔特人,后卫-前锋,1.93,98.0 公斤,1,美国,https://china.nba.com//players/#!/romeo_langford,32,2,11.6,35.0,18.5,72.0,0.5,0.8,2.5,1.3,0.4,0.3,0.3,0.3,1.0
Jake Layman,森林狼,前锋,2.03,94.8 公斤,4,美国,https://china.nba.com//players/#!/jake_layman,164,37,13.7,45.6,30.9,72.4,0.5,1.4,5.3,1.9,0.5,0.4,0.3,0.5,1.2
Caris LeVert,篮网,后卫,1.98,93.0 公斤,4,美国,https://china.nba.com//players/#!/caris_levert,213,92,25.8,43.3,33.9,70.8,0.8,3.0,12.7,3.7,3.6,1.1,0.3,1.9,1.9
TJ Leaf,雷霆,前锋,2.08,100.7 公斤,3,美国,https://china.nba.com//players/#!/tj_leaf,139,2,8.7,49.1,34.1,57.1,0.7,1.3,3.3,2.0,0.3,0.2,0.2,0.2,0.7
Jalen Lecque,步行者,后卫,1.93,83.9 公斤,1,美国,https://china.nba.com//players/#!/jalen_lecque,5,0,6.4,40.0,0.0,100.0,0.0,0.4,2.0,0.4,0.4,0.0,0.0,0.4,0.6
Courtney Lee,独行侠,后卫,1.96,97.5 公斤,12,美国,https://china.nba.com//players/#!/courtney_lee,811,518,27.1,45.1,38.8,85.3,0.5,2.2,9.6,2.6,1.7,1.0,0.3,0.9,1.7
Damion Lee,勇士,后卫-前锋,1.96,95.3 公斤,3,美国,https://china.nba.com//players/#!/damion_lee,96,47,22.9,41.9,34.6,85.3,0.5,3.4,9.8,3.9,1.8,0.9,0.1,1.0,1.8
Saben Lee,活塞,后卫,1.88,83.0 公斤,0,美国,https://china.nba.com//players/#!/saban_lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Len,猛龙,中锋,2.13,113.4 公斤,7,乌克兰,https://china.nba.com//players/#!/alex_len,467,183,19.6,49.5,33.3,69.0,2.0,4.2,8.0,6.3,0.8,0.4,1.0,1.2,2.7
Kawhi Leonard,快船,前锋,2.01,102.1 公斤,9,美国,https://china.nba.com//players/#!/kawhi_leonard,524,497,31.0,49.1,38.3,85.5,1.2,5.2,18.7,6.4,2.7,1.8,0.7,1.6,1.7
Meyers Leonard,热火,前锋-中锋,2.13,117.9 公斤,8,美国,https://china.nba.com//players/#!/meyers_leonard,444,91,16.1,48.2,39.0,81.1,0.7,3.2,5.6,3.9,0.9,0.2,0.3,0.7,2.2
Kira Lewis Jr.,鹈鹕,后卫,1.90,77.1 公斤,0,美国,https://china.nba.com//players/#!/kira_lewis_jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Lillard,开拓者,后卫,1.88,88.5 公斤,8,美国,https://china.nba.com//players/#!/damian_lillard,615,615,36.4,43.7,37.3,88.9,0.6,3.6,24.2,4.2,6.5,1.0,0.3,2.8,2.0
Nassir Little,开拓者,前锋-后卫,1.96,99.8 公斤,1,美国,https://china.nba.com//players/#!/nassir_little,48,5,11.9,43.0,23.7,63.6,0.7,1.6,3.6,2.3,0.5,0.3,0.3,0.3,1.5
Kevon Looney,勇士,前锋,2.06,100.7 公斤,5,美国,https://china.nba.com//players/#!/kevon_looney,224,36,13.9,57.0,15.0,60.1,1.6,2.1,4.4,3.7,1.0,0.5,0.6,0.5,1.9
Brook Lopez,雄鹿,中锋,2.13,127.9 公斤,12,美国,https://china.nba.com//players/#!/brook_lopez,785,747,30.6,49.4,34.1,79.3,2.1,4.3,16.8,6.4,1.5,0.6,1.8,1.8,2.7
Robin Lopez,奇才,中锋,2.13,127.5 公斤,12,美国,https://china.nba.com//players/#!/robin_lopez,832,585,22.4,52.9,29.5,74.9,2.3,2.8,8.8,5.1,0.8,0.2,1.2,1.1,2.0
Kevin Love,骑士,前锋-中锋,2.03,113.9 公斤,12,美国,https://china.nba.com//players/#!/kevin_love,713,630,32.0,44.2,37.0,82.8,2.8,8.4,18.2,11.2,2.4,0.7,0.5,2.0,2.1
Kyle Lowry,猛龙,后卫,1.83,88.9 公斤,14,美国,https://china.nba.com//players/#!/kyle_lowry,914,678,31.6,42.3,36.6,80.9,0.8,3.5,14.7,4.3,6.2,1.4,0.3,2.3,2.7
Timothe Luwawu-Cabarrot,篮网,后卫-前锋,2.01,99.8 公斤,4,法国,https://china.nba.com//players/#!/timothe_luwawu-cabarrot,218,35,16.1,39.8,33.8,82.8,0.4,1.7,6.1,2.0,0.8,0.4,0.1,0.8,2.0
Trey Lyles,马刺,前锋,2.06,106.1 公斤,5,美国,https://china.nba.com//players/#!/trey_lyles,351,94,18.0,43.3,34.1,70.8,0.8,3.5,7.4,4.2,1.1,0.4,0.4,0.9,1.5
Will Magnay,鹈鹕,中锋,2.08,106.1 公斤,0,澳洲,https://china.nba.com//players/#!/tmp_will_magnay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thon Maker,骑士,前锋-中锋,2.13,100.2 公斤,4,南苏丹,https://china.nba.com//players/#!/thon_maker,255,65,13.9,43.3,32.9,67.3,0.8,2.0,4.7,2.8,0.6,0.4,0.7,0.6,1.8
Theo Maledon,雷霆,后卫,1.96,79.4 公斤,0,法国,https://china.nba.com//players/#!/theo_maledon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karim Mane,魔术,后卫,1.96,86.2 公斤,0,加拿大,https://china.nba.com//players/#!/karim_mane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terance Mann,快船,后卫-前锋,1.96,97.5 公斤,1,美国,https://china.nba.com//players/#!/terance_mann,41,6,8.8,46.8,35.0,66.7,0.2,1.1,2.4,1.3,1.3,0.3,0.1,0.4,1.1
Nico Mannion,勇士,后卫,1.90,86.2 公斤,0,意大利,https://china.nba.com//players/#!/nico_mannion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boban Marjanovic,独行侠,中锋,2.24,131.5 公斤,5,塞尔维亚,https://china.nba.com//players/#!/boban_marjanovic,230,22,9.7,58.1,29.6,77.0,1.4,2.7,6.2,4.0,0.5,0.2,0.4,0.7,1.2
Lauri Markkanen,公牛,前锋-中锋,2.13,108.9 公斤,3,芬兰,https://china.nba.com//players/#!/lauri_markkanen,170,169,30.6,43.0,35.6,84.8,1.3,6.3,16.1,7.6,1.3,0.7,0.6,1.5,1.9
Naji Marshall,鹈鹕,前锋,2.01,99.8 公斤,0,美国,https://china.nba.com//players/#!/naji_marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Martin,黄蜂,前锋,1.96,93.0 公斤,1,美国,https://china.nba.com//players/#!/caleb_martin,18,1,17.6,44.0,54.1,81.0,0.6,1.6,6.2,2.1,1.3,0.7,0.4,0.8,1.8
Cody Martin,黄蜂,前锋,1.96,93.0 公斤,1,美国,https://china.nba.com//players/#!/cody_martin,48,3,18.8,43.0,23.4,64.6,0.8,2.5,5.0,3.3,2.0,0.8,0.2,0.9,1.6
Jeremiah Martin,篮网,后卫,1.88,83.9 公斤,1,美国,https://china.nba.com//players/#!/jeremiah_martin,9,0,11.0,45.3,27.8,78.6,0.1,1.0,7.1,1.1,2.0,0.8,0.2,0.4,0.8
Kelan Martin,步行者,前锋,1.96,104.3 公斤,1,美国,https://china.nba.com//players/#!/kelan_martin,31,4,16.0,39.2,26.0,96.8,0.4,2.7,6.4,3.1,0.7,0.2,0.3,0.7,1.7
Kenyon Martin Jr.,火箭,前锋,1.98,97.5 公斤,0,美国,https://china.nba.com//players/#!/kenyon_martin_jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrison Mathews,奇才,后卫,1.96,97.5 公斤,1,美国,https://china.nba.com//players/#!/garrison_mathews,18,0,12.6,42.9,41.3,91.2,0.3,1.0,5.4,1.3,0.6,0.4,0.1,0.4,1.8
Dakota Mathias,76人,后卫,1.93,90.7 公斤,0,美国,https://china.nba.com//players/#!/dakota_mathias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Matthews,骑士,后卫-前锋,1.98,93.0 公斤,0,美国,https://china.nba.com//players/#!/charles_matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Matthews,湖人,后卫,1.93,99.8 公斤,11,美国,https://china.nba.com//players/#!/wesley_matthews,791,730,31.9,42.3,38.1,82.4,0.5,2.5,13.1,3.0,2.1,1.1,0.2,1.3,2.2
Tyrese Maxey,76人,后卫,1.90,90.7 公斤,0,美国,https://china.nba.com//players/#!/tyrese_maxey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skylar Mays,老鹰,后卫,1.93,93.0 公斤,0,美国,https://china.nba.com//players/#!/skylar_mays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick McCaw,猛龙,后卫,2.01,82.1 公斤,4,美国,https://china.nba.com//players/#!/patrick_mccaw,194,43,17.2,41.9,30.5,77.9,0.3,1.3,3.9,1.6,1.4,0.7,0.2,0.6,1.2
CJ McCollum,开拓者,后卫,1.90,86.2 公斤,7,美国,https://china.nba.com//players/#!/cj_mccollum,481,384,30.9,45.4,39.7,82.7,0.6,2.7,18.5,3.3,3.1,0.9,0.4,1.7,2.2
T.J. McConnell,步行者,后卫,1.85,86.2 公斤,5,美国,https://china.nba.com//players/#!/t.j._mcconnell,385,75,21.4,49.2,33.2,77.9,0.5,2.4,6.4,2.8,4.7,1.2,0.2,1.6,1.4
Jaden McDaniels,森林狼,前锋,2.08,83.9 公斤,0,美国,https://china.nba.com//players/#!/jaden_mcdaniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen McDaniels,黄蜂,前锋-中锋,2.08,93.0 公斤,1,美国,https://china.nba.com//players/#!/jalen_mcdaniels,16,0,18.3,47.1,37.5,82.4,0.9,3.1,5.6,4.1,0.8,0.5,0.2,0.7,2.3
Doug McDermott,步行者,前锋,2.01,102.1 公斤,6,美国,https://china.nba.com//players/#!/doug_mcdermott,410,14,19.9,46.5,41.2,82.5,0.4,1.8,8.2,2.2,0.8,0.2,0.1,0.6,1.4
Sean McDermott,灰熊,前锋,1.98,88.5 公斤,0,美国,https://china.nba.com//players/#!/sean_mcdermott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaVale McGee,骑士,中锋-前锋,2.13,122.5 公斤,12,美国,https://china.nba.com//players/#!/javale_mcgee,701,317,17.3,57.5,15.2,59.2,1.9,3.3,7.9,5.2,0.4,0.4,1.5,1.0,2.2
Rodney McGruder,活塞,后卫,1.93,93.0 公斤,4,美国,https://china.nba.com//players/#!/rodney_mcgruder,218,116,21.5,41.2,33.6,64.3,0.9,2.2,5.9,3.1,1.3,0.5,0.2,0.7,1.6
Alfonzo McKinnie,湖人,前锋,2.01,97.5 公斤,3,美国,https://china.nba.com//players/#!/alfonzo_mckinnie,126,6,13.1,46.6,30.7,62.2,0.9,2.0,4.3,2.9,0.4,0.3,0.2,0.5,1.7
Ben McLemore,火箭,后卫,1.90,88.5 公斤,7,美国,https://china.nba.com//players/#!/ben_mclemore,439,257,23.6,42.1,36.6,77.9,0.4,2.0,9.0,2.4,1.1,0.7,0.2,1.2,2.2
Nicolo Melli,鹈鹕,前锋,2.06,107.0 公斤,1,意大利,https://china.nba.com//players/#!/nicolo_melli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Anthony Melton,灰熊,后卫,1.88,90.7 公斤,2,美国,https://china.nba.com//players/#!/deanthony_melton,110,39,19.6,39.7,29.4,76.5,0.6,2.6,6.4,3.2,3.0,1.3,0.4,1.5,2.0
Sam Merrill,雄鹿,后卫,1.96,93.0 公斤,0,美国,https://china.nba.com//players/#!/sam_merrill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimezie Metu,国王,前锋-中锋,2.06,102.1 公斤,2,美国,https://china.nba.com//players/#!/chimezie_metu,47,0,5.3,43.0,0.0,76.7,0.5,1.0,2.3,1.5,0.5,0.2,0.2,0.5,0.5
Khris Middleton,雄鹿,前锋,2.01,100.7 公斤,8,美国,https://china.nba.com//players/#!/khris_middleton,517,442,31.5,45.8,39.2,87.6,0.6,4.1,16.3,4.7,3.4,1.3,0.2,1.9,2.6
Darius Miller,雷霆,前锋,1.98,102.1 公斤,5,美国,https://china.nba.com//players/#!/darius_miller,253,28,20.4,41.8,38.2,83.0,0.2,1.5,6.0,1.7,1.4,0.4,0.2,0.6,2.0
Patty Mills,马刺,后卫,1.85,81.6 公斤,11,澳洲,https://china.nba.com//players/#!/patty_mills,671,56,19.3,43.1,38.9,85.2,0.3,1.4,8.7,1.7,2.3,0.7,0.1,1.0,1.3
Paul Millsap,掘金,前锋,2.01,116.6 公斤,14,美国,https://china.nba.com//players/#!/paul_millsap,996,709,29.1,49.0,34.3,73.7,2.2,5.1,14.0,7.3,2.3,1.3,1.0,1.8,3.1
Shake Milton,76人,后卫-前锋,1.96,93.0 公斤,2,美国,https://china.nba.com//players/#!/shake_milton,60,24,17.9,46.2,40.2,77.8,0.4,1.7,7.7,2.1,2.0,0.5,0.3,0.9,2.0
Donovan Mitchell,爵士,后卫,1.85,97.5 公斤,3,美国,https://china.nba.com//players/#!/donovan_mitchell,225,217,33.8,43.9,35.5,82.4,0.7,3.3,22.7,4.1,4.0,1.3,0.3,2.7,2.6
Naz Mitrou-Long,步行者,后卫,1.90,98.9 公斤,3,加拿大,https://china.nba.com//players/#!/naz_mitrou-long,20,0,6.6,34.2,20.8,100.0,0.1,0.6,1.7,0.7,1.2,0.1,0.1,0.6,0.6
Adam Mokoka,公牛,后卫,1.96,86.2 公斤,1,法国,https://china.nba.com//players/#!/adam_mokoka,11,0,10.2,42.9,40.0,50.0,0.6,0.3,2.9,0.9,0.4,0.4,0.0,0.2,1.6
Malik Monk,黄蜂,后卫,1.90,90.7 公斤,3,美国,https://china.nba.com//players/#!/malik_monk,191,1,17.2,39.5,32.2,85.0,0.3,1.6,8.6,1.9,1.7,0.4,0.2,1.1,1.3
E.J. Montgomery,雄鹿,前锋,2.08,103.4 公斤,0,美国,https://china.nba.com//players/#!/ej_montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mooney,骑士,后卫,1.88,90.3 公斤,1,美国,https://china.nba.com//players/#!/matt_mooney,4,0,4.8,25.0,0.0,0.0,0.0,0.8,0.5,0.8,0.3,0.5,0.3,0.0,0.3
E'Twaun Moore,太阳,后卫,1.90,86.6 公斤,9,美国,https://china.nba.com//players/#!/e'twaun_moore,571,190,21.3,45.5,39.0,73.8,0.5,1.6,8.1,2.0,1.8,0.7,0.2,0.9,1.6
Ja Morant,灰熊,后卫,1.90,78.9 公斤,1,美国,https://china.nba.com//players/#!/ja_morant,67,67,31.0,47.7,33.5,77.6,0.8,3.1,17.8,3.9,7.3,0.9,0.3,3.3,1.6
Juwan Morgan,爵士,前锋,2.01,105.2 公斤,1,美国,https://china.nba.com//players/#!/juwan_morgan,21,0,6.4,57.7,37.5,75.0,0.5,0.9,1.7,1.4,0.3,0.1,0.1,0.3,0.9
Markieff Morris,湖人,前锋,2.03,111.1 公斤,9,美国,https://china.nba.com//players/#!/markieff_morris,637,348,25.5,44.8,34.5,77.8,1.3,4.1,11.4,5.3,1.7,0.9,0.6,1.6,2.9
Abdel Nader,太阳,前锋,1.96,102.1 公斤,3,埃及,https://china.nba.com//players/#!/abdel_nader,164,8,12.7,42.1,35.2,71.6,0.3,1.5,4.5,1.8,0.5,0.4,0.3,0.6,1.2
Larry Nance Jr.,骑士,前锋-中锋,2.01,111.1 公斤,5,美国,https://china.nba.com//players/#!/larry_nance jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Nesmith,凯尔特人,后卫-前锋,1.98,97.5 公斤,0,美国,https://china.nba.com//players/#!/aaron_nesmith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Neto,奇才,后卫,1.85,81.6 公斤,5,巴西,https://china.nba.com//players/#!/raul_neto,253,57,13.8,44.6,37.9,78.9,0.2,1.1,4.9,1.3,1.9,0.5,0.1,1.0,1.2
Georges Niang,爵士,前锋,2.01,104.3 公斤,4,美国,https://china.nba.com//players/#!/georges_niang,157,1,10.0,43.6,38.7,82.7,0.2,1.3,4.2,1.5,0.6,0.2,0.1,0.4,0.9
Zeke Nnaji,掘金,前锋-中锋,2.11,108.9 公斤,0,美国,https://china.nba.com//players/#!/zeke_nnaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerlens Noel,尼克斯,中锋-前锋,2.08,99.8 公斤,6,美国,https://china.nba.com//players/#!/nerlens_noel,361,167,22.1,54.3,28.6,64.8,1.9,4.3,8.0,6.2,1.2,1.3,1.4,1.4,2.5
Zach Norvell Jr.,公牛,后卫-前锋,1.96,93.0 公斤,1,美国,https://china.nba.com//players/#!/zach_norvell_jr,5,0,8.2,25.0,37.5,100.0,0.0,1.2,2.0,1.2,0.6,0.4,0.0,0.6,0.8
Jaylen Nowell,森林狼,后卫,1.93,91.2 公斤,1,美国,https://china.nba.com//players/#!/jaylen_nowell,15,0,10.1,35.8,11.5,94.1,0.2,0.7,3.8,0.9,1.3,0.2,0.1,0.2,0.7
Frank Ntilikina,尼克斯,后卫,1.93,90.7 公斤,3,法国,https://china.nba.com//players/#!/frank_ntilikina,178,51,21.3,36.6,31.1,78.3,0.4,1.8,6.0,2.2,3.1,0.8,0.3,1.5,2.4
Kendrick Nunn,热火,后卫,1.88,86.2 公斤,1,美国,https://china.nba.com//players/#!/kendrick_nunn,67,67,29.3,43.9,35.0,85.0,0.3,2.4,15.3,2.7,3.3,0.8,0.2,1.7,2.3
Jusuf Nurkic,开拓者,中锋,2.13,131.5 公斤,6,Bosnia and Herzegovina,https://china.nba.com//players/#!/jusuf_nurkic,318,237,23.1,49.2,9.6,67.3,2.5,5.5,11.8,8.1,2.0,0.9,1.3,2.1,3.1
David Nwaba,火箭,后卫-前锋,1.96,99.3 公斤,4,美国,https://china.nba.com//players/#!/david_nwaba,161,37,20.5,49.2,34.4,66.1,1.0,2.8,6.9,3.7,1.1,0.7,0.4,0.8,2.1
Jordan Nwora,雄鹿,前锋,2.03,102.1 公斤,0,美国,https://china.nba.com//players/#!/jordan_nwora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce O'Neale,爵士,前锋,1.93,102.5 公斤,3,美国,https://china.nba.com//players/#!/royce_o'neale,222,82,21.9,44.5,37.5,78.0,0.3,3.8,5.5,4.1,1.8,0.7,0.3,0.8,2.2
Semi Ojeleye,凯尔特人,前锋,1.98,108.9 公斤,3,美国,https://china.nba.com//players/#!/semi_ojeleye,198,9,13.9,39.1,34.0,68.8,0.4,1.5,3.1,2.0,0.4,0.3,0.1,0.3,1.1
Jahlil Okafor,活塞,中锋-前锋,2.08,122.5 公斤,5,美国,https://china.nba.com//players/#!/jahlil_okafor,220,114,20.4,53.8,22.2,67.5,1.6,3.4,11.0,5.0,1.0,0.3,0.9,1.5,2.2
Chuma Okeke,魔术,前锋,2.03,103.9 公斤,0,美国,https://china.nba.com//players/#!/chuma_okeke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Okogie,森林狼,后卫,1.93,96.6 公斤,2,尼日利亚,https://china.nba.com//players/#!/josh_okogie,136,80,24.3,40.4,27.4,76.5,0.9,2.6,8.1,3.6,1.4,1.2,0.4,1.1,2.2
Onyeka Okongwu,老鹰,前锋-中锋,2.06,106.6 公斤,0,美国,https://china.nba.com//players/#!/onyeka_okongwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Okoro,骑士,前锋-后卫,1.98,102.1 公斤,0,美国,https://china.nba.com//players/#!/isaac_okoro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KZ Okpala,热火,前锋-后卫,2.03,97.5 公斤,1,美国,https://china.nba.com//players/#!/kz_okpala,5,0,5.2,60.0,0.0,50.0,0.2,0.8,1.4,1.0,0.2,0.4,0.2,0.2,0.4
Victor Oladipo,步行者,后卫,1.93,96.6 公斤,7,美国,https://china.nba.com//players/#!/victor_oladipo,421,361,33.0,44.1,35.0,79.4,0.6,4.0,17.3,4.6,3.9,1.7,0.5,2.6,2.4
Kelly Olynyk,热火,前锋-中锋,2.11,108.9 公斤,7,加拿大,https://china.nba.com//players/#!/kelly_olynyk,500,103,21.3,47.6,37.3,77.5,1.2,3.7,9.7,4.8,1.9,0.7,0.5,1.4,2.8
Miye Oni,爵士,后卫-前锋,1.96,93.4 公斤,1,美国,https://china.nba.com//players/#!/miye_oni,10,1,10.9,37.5,36.8,80.0,0.5,1.2,3.5,1.7,0.4,0.4,0.2,0.4,0.9
Cedi Osman,骑士,前锋,2.01,104.3 公斤,3,土耳其,https://china.nba.com//players/#!/cedi_osman,202,152,24.9,43.7,36.4,71.7,0.5,3.0,9.6,3.5,1.9,0.7,0.2,1.2,2.1
Daniel Oturu,快船,中锋,2.08,108.9 公斤,0,美国,https://china.nba.com//players/#!/daniel_oturu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Oubre Jr.,勇士,前锋-后卫,2.01,92.1 公斤,5,美国,https://china.nba.com//players/#!/kelly_oubre jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Parker,国王,前锋,2.03,111.1 公斤,6,美国,https://china.nba.com//players/#!/jabari_parker,285,190,29.0,49.3,32.4,74.0,1.5,4.2,14.9,5.7,2.1,0.9,0.4,1.8,2.1
Eric Paschall,勇士,前锋,1.98,115.7 公斤,1,美国,https://china.nba.com//players/#!/eric_paschall,60,26,27.6,49.7,28.7,77.4,1.4,3.2,14.0,4.6,2.1,0.5,0.2,1.6,2.1
Anzejs Pasecniks,奇才,中锋-前锋,2.18,103.9 公斤,1,拉脱维亚,https://china.nba.com//players/#!/anzejs_pasecniks,27,0,16.2,52.6,0.0,58.6,1.6,2.4,5.8,4.0,0.7,0.3,0.4,0.9,2.8
Patrick Patterson,快船,前锋,2.03,106.6 公斤,10,美国,https://china.nba.com//players/#!/patrick_patterson,681,99,21.1,44.8,36.9,75.5,1.2,2.8,6.7,4.0,1.0,0.5,0.4,0.6,1.6
Justin Patton,雄鹿,中锋,2.11,109.3 公斤,3,美国,https://china.nba.com//players/#!/justin_patton,9,0,5.4,36.8,16.7,50.0,0.3,0.9,1.8,1.2,0.6,0.3,0.0,0.2,1.1
Chris Paul,太阳,后卫,1.85,79.4 公斤,15,美国,https://china.nba.com//players/#!/chris_paul,1020,1020,34.9,47.1,37.0,87.0,0.7,3.9,18.5,4.5,9.5,2.2,0.1,2.4,2.5
Cameron Payne,太阳,后卫,1.85,83.0 公斤,5,美国,https://china.nba.com//players/#!/cameron_payne,161,28,16.4,40.3,34.4,78.1,0.3,1.6,6.2,1.9,2.5,0.7,0.2,1.0,1.6
