name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Anthony Gill,奇才,前锋,2.03,104.3 公斤,0,美国,https://china.nba.com//players/#!/anthony_gill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romaro Gill,爵士,中锋,2.18,115.7 公斤,0,牙买加,https://china.nba.com//players/#!/romaro_gill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Gillespie,独行侠,前锋,2.06,111.1 公斤,0,美国,https://china.nba.com//players/#!/freddie_gillespie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Gobert,爵士,中锋,2.16,117.0 公斤,7,法国,https://china.nba.com//players/#!/rudy_gobert,474,382,29.5,64.0,0.0,63.1,3.3,7.7,11.7,11.0,1.4,0.7,2.2,1.6,2.6
Brandon Goodwin,老鹰,后卫,1.83,81.6 公斤,2,美国,https://china.nba.com//players/#!/brandon_goodwin,50,1,9.7,38.5,30.1,90.2,0.2,1.3,4.6,1.5,1.3,0.2,0.1,0.6,1.0
Aaron Gordon,魔术,前锋,2.03,106.6 公斤,6,美国,https://china.nba.com//players/#!/aaron_gordon,403,314,28.6,44.8,31.9,70.1,1.6,4.8,12.8,6.4,2.4,0.8,0.6,1.4,2.0
Eric Gordon,火箭,后卫,1.90,97.5 公斤,12,美国,https://china.nba.com//players/#!/eric_gordon,665,511,32.8,42.5,37.0,81.1,0.4,2.1,16.6,2.5,2.9,0.9,0.3,2.0,2.0
Devonte' Graham,黄蜂,后卫,1.85,88.5 公斤,2,美国,https://china.nba.com//players/#!/devonte_graham,109,56,26.5,37.5,35.7,81.0,0.5,2.1,12.5,2.5,5.4,0.8,0.2,1.9,1.5
Treveon Graham,雄鹿,后卫-前锋,1.96,99.3 公斤,4,美国,https://china.nba.com//players/#!/treveon_graham,180,44,16.0,38.3,33.3,69.1,0.7,1.6,4.2,2.2,0.8,0.4,0.1,0.4,1.7
Jerami Grant,活塞,前锋,2.03,95.3 公斤,6,美国,https://china.nba.com//players/#!/jerami_grant,454,169,24.5,46.5,34.7,66.9,0.9,2.9,9.3,3.9,1.1,0.6,1.1,0.9,2.3
Jerian Grant,火箭,后卫,1.93,89.8 公斤,5,美国,https://china.nba.com//players/#!/jerian_grant,279,61,17.9,41.1,32.3,77.0,0.3,1.6,6.1,1.9,2.9,0.7,0.1,1.0,1.5
